казнятся неравно и	законом	и общественным мнением
законом и общественным	мнением	- Степан Аркадьич
обратился с холодною	улыбкой	к Песцову -
Туровцын оживленный выпитым	шампанским	и давно ждавший
с своею доброю	улыбкой	влажных и румяных
в Твери с	Квытским	и убил его
Алексей Александрович с	любопытством	спросил - За
жену - -	Молодцом	поступил - -
пришли сказала ему	Долли	с испуганною улыбкой
Долли с испуганною	улыбкой	встречая его в
его в проходной	гостиной	мне нужно поговорить
с тем же	выражением	равнодушия которое придавали
она с отчаянною	решительностью	глядя ему в
руки с энергичным	жестом	проговорила Долли -
энергичным жестом проговорила	Долли	- - Она
пожалуйста - Волнение	Долли	действовало на Алексея
обтянутый изрезанною перочинными	ножами	клеенкой - Я
изрезанною перочинными ножами	клеенкой	- Я не
верю этому проговорила	Долли	стараясь уловить его
вы ошиблись говорила	Долли	дотрагиваясь руками до
говорила Долли дотрагиваясь	руками	до висков и
холодно улыбнулся одними	губами	желая показать ей
заговорил с большим	оживлением	- Весьма трудно
он сердито сопя	носом	- Анна и
доброе взволнованное лицо	Долли	и чувствуя что
проговорила она со	слезами	на глазах -
понимаю это сказала	Долли	и опустила голову
и вдруг энергическим	жестом	подняла голову и
голову и умоляющим	жестом	сложила руки -
Лицо его покраснело	пятнами	и мутные глаза
Александровна теперь всею	душой	уже жалела его
погибель кажется ей	спасением	то что же
Она будет ничьей	женой	она погибнет -
заговорил пронзительным громким	голосом	- Простить я
я ненавижу всеми	силами	души и не
проговорил он со	слезами	злобы в голосе
